Name,Pixel Area,Meters Area
Agde,42265,5.975446E9
Agen,162351,2.29532631E10
Aime - La Plagne,3892,5.5025286E8
Aix-en-Provence,59333,8.3885281E9
Aix-en-Provence TGV,7716,1.09089178E9
Aix-les-Bains le Revard,17899,2.53056922E9
Albertville,13072,1.8481257E9
Ancenis,54488,7.7035397E9
Angers Saint-Laud,43516,6.1523133E9
Angoulême,288564,4.0797319E10
Annecy,14883,2.10416576E9
Annemasse,19541,2.76271616E9
Antibes,126681,1.79102208E10
Arcachon,384315,5.433464E10
Arles,28176,3.98353664E9
Arras,32385,4.5786071E9
Auray,36712,5.1903606E9
Avignon Centre,14085,1.99134413E9
Avignon TGV terminal TER,7209,1.0192119E9
Aéroport Charles de Gaulle 2 TGV,55179,7.8012339E9
Bar-le-Duc,69819,9.8710436E9
Bayonne,39250,5.549184E9
Beaune,30059,4.2497559E9
Belfort - Montbéliard TGV,87881,1.24246579E10
Bellegarde,20077,2.838496E9
Besançon Franche-Comté TGV,53520,7.5666836E9
Besançon Viotte,26342,3.72424474E9
Biarritz,21484,3.03741824E9
Biganos Facture,42482,6.0061256E9
Bordeaux Saint-Jean,65543,9.2665006E9
Boulogne-sur-Mer,335918,4.7492248E10
Bourg-Saint-Maurice,193311,2.73304023E10
Bourg-en-Bresse,26606,3.76156928E9
Brest,62538,8.8416522E9
Béthune,21577,3.05056666E9
Béziers,67879,9.5967662E9
Calais,148999,2.10655498E10
Calais - Fréthun,23626,3.34025523E9
Cannes,24415,3.45180442E9
Carcassonne,145869,2.06230303E10
Chalon-sur-Saône,30416,4.3002286E9
Chambéry - Challes-les-Eaux,18780,2.6551255E9
Champagne-Ardenne TGV,48127,6.8042184E9
Charleville-Mézières,203412,2.8758487E10
Châlons-en-Champagne,55011,7.7774817E9
Châtellerault,195143,2.75894129E10
Cluses,18182,2.57057997E9
Colmar,33099,4.6795525E9
Croix - Wasquehal,2633,3.72254816E8
Dax,73820,1.04367073E10
Dijon,69206,9.7843773E9
Dol-de-Bretagne,92113,1.30229801E10
Dole,28674,4.05394406E9
Douai,17936,2.53580032E9
Dunkerque,134689,1.90423962E10
Forbach,635309,8.9820291E10
Frasne,58798,8.3128899E9
Futuroscope,19867,2.80880614E9
Grenoble,80443,1.13730703E10
Guingamp,32588,4.6073073E9
Haute Picardie TGV,127090,1.79680461E10
Hazebrouck,28427,4.0190231E9
Hendaye,844050,1.193322E11
Hyères,107042,1.51336499E10
La Baule-Escoublac,4082,5.7711514E8
La Roche-sur-Yon,59170,8.365483E9
La Rochelle,119160,1.68468982E10
La Teste-de-Buch,34423,4.8667402E9
Lamballe,41663,5.8903352E9
Landerneau,66969,9.4681098E9
Landry,10402,1.47063974E9
Lannion,813735,1.15046253E11
Laval,84758,1.19831276E10
Le Creusot - Montceau-les-Mines - Montchanin TGV,221702,3.13443369E10
Le Croisic,180267,2.54862356E10
Le Havre,723656,1.02310838E11
Le Mans,121641,1.71976643E10
Le Pouliguen,4897,6.9234022E8
Lens,6901,9.7566675E8
Les Arcs - Draguignan,73557,1.03995238E10
Les Sables-d'Olonne,421954,5.9656061E10
Libourne,97098,1.37277624E10
Lille Europe,2350,3.32244128E8
Lille Flandres,8278,1.17034765E9
Lorient Bretagne Sud,149470,2.11321405E10
Lorraine TGV,24650,3.48502886E9
Lourdes,162065,2.29128274E10
Lunéville,26978,3.81416269E9
Lyon Part Dieu,9851,1.3927392E9
Lyon Perrache,28216,3.98919168E9
Lyon Saint-Exupéry TGV,36840,5.2084572E9
Mantes-la-Jolie,115055,1.62665318E10
Marne-la-Vallée Chessy,113770,1.60848579E10
Marseille Saint-Charles,106901,1.51137147E10
Massy - Palaiseau,25105,3.54935706E9
Massy TGV,88366,1.2493228E10
Metz,22938,3.24298547E9
Meuse TGV,56123,7.934697E9
Miramas,33369,4.7177252E9
Modane,206682,2.92208005E10
Montauban Ville Bourbon,251381,3.5540369E10
Montbard,278807,3.9417868E10
Montpellier Saint-Roch,83662,1.18281738E10
Montpellier Sud de France,21951,3.10344294E9
Montélimar,115954,1.63936328E10
Morlaix,75549,1.06811546E10
Mouchard,27763,3.92514637E9
Moûtiers - Salins - Brides-les-Bains,7381,1.04352934E9
Mulhouse,276126,3.9038829E10
Mâcon,15631,2.20991846E9
Mâcon Loché TGV,62611,8.8519731E9
Nancy,41732,5.9000904E9
Nantes,42159,5.9604598E9
Narbonne,32796,4.6367145E9
Nice,447669,6.3291658E10
Niort,37537,5.3069993E9
Nurieux-Volognat,30143,4.261632E9
Nîmes,48191,6.8132669E9
Nîmes Pont du Gard,6421,9.078041E8
Orange,62064,8.7746386E9
Orthez,53076,7.5039104E9
Paris Est,8495,1.2010272E9
Paris Gare de Lyon Hall 1 & 2,4897,6.9234022E8
Paris Montparnasse Hall 1 & 2,2025,2.86295488E8
Pau,64207,9.0776166E9
Perpignan,144886,2.0484053E10
Plouaret Trégor,15307,2.1641111E9
Poitiers,84149,1.18970266E10
Pornichet,15881,2.24526336E9
Quimper,149976,2.12036792E10
Quimperlé,30370,4.29372518E9
Rang-du-Fliers - Verton - Berck,114805,1.62311864E10
Redon,49366,6.9793889E9
Reims,34825,4.9235753E9
Remiremont,38775,5.482028E9
Rennes,46713,6.6043064E9
Rethel,58889,8.3257554E9
Rosporden,29261,4.1369344E9
Roubaix,5231,7.3956134E8
Rouen Rive Droite,146206,2.06706749E10
Sablé-sur-Sarthe,36952,5.2242918E9
Saint-Avre - La Chambre,10638,1.50400563E9
Saint-Brieuc,42812,6.0527811E9
Saint-Dié-des-Vosges,25958,3.66995456E9
Saint-Gervais-les-Bains Le Fayet,121444,1.71698115E10
Saint-Jean-de-Luz - Ciboure,36336,5.1372012E9
Saint-Jean-de-Maurienne Arvan,9215,1.30282112E9
Saint-Maixent-L'École,49150,6.9488507E9
Saint-Malo,240810,3.40458353E10
Saint-Michel - Valloire,33731,4.7689052E9
Saint-Nazaire,26208,3.70529971E9
Saint-Pierre-des-Corps,97517,1.37870008E10
Saint-Raphaël,90571,1.28049715E10
Saint-Étienne Châteaucreux,332456,4.7002792E10
Sallanches - Combloux - Megève,5763,8.1477574E8
Sarrebourg,28121,3.97576064E9
Saumur,64345,9.0971269E9
Saverne,52566,7.4318065E9
Sedan,221596,3.13293496E10
Strasbourg,276720,3.9122809E10
Surgères,57453,8.1227331E9
Sète,61467,8.6902344E9
Sélestat,47866,6.767318E9
Tarbes,83061,1.17432044E10
Thionville,336568,4.7584145E10
Thonon-les-Bains,14626,2.06783091E9
Toulon,72023,1.01826468E10
Toulouse Matabiau,126255,1.78499932E10
Tourcoing,260574,3.6840079E10
Tours,30123,4.25880422E9
Valence,33610,4.7517983E9
Valence TGV Rhône-Alpes Sud,40687,5.7523476E9
Valenciennes,183250,2.59079741E10
Vannes,34942,4.940117E9
Vendôme - Villiers-sur-Loir TGV,213001,3.01141852E10
Versailles Chantiers,28590,4.04206797E9
Vitry-le-François,96148,1.35934505E10
Vitré,46450,6.5671235E9
Épinal,63817,9.0224783E9
Étaples - Le Touquet,35487,5.0171694E9
Évian-les-Bains,154511,2.18448404E10
