Name,Lat,Long
Agde,43.31728,3.466203
Agen,44.208311,0.620932
Aime - La Plagne,45.5544,6.648646
Aix-en-Provence,43.522912,5.445345
Aix-en-Provence TGV,43.455237,5.317534
Aix-les-Bains le Revard,45.688161,5.909371
Albertville,45.672977,6.383167
Ancenis,47.369334,-1.177763
Angers Saint-Laud,47.464647,-0.55682
Angoulême,45.653572,0.164608
Annecy,45.901965,6.121835
Annemasse,46.199222,6.23652
Antibes,43.585784,7.119498
Arcachon,44.659009,-1.16523
Arles,43.684853,4.63203
Arras,50.286673,2.781942
Auray,47.68022,-2.999995
Avignon Centre,43.9419,4.805281
Avignon TGV terminal TER,43.921586,4.786079
Aéroport Charles de Gaulle 2 TGV,49.003652,2.570892
Bar-le-Duc,48.773308,5.166822
Bayonne,43.496801,-1.470306
Beaune,47.023053,4.848379
Belfort - Montbéliard TGV,47.585937,6.897687
Bellegarde,46.109425,5.823483
Besançon Franche-Comté TGV,47.307361058531725,5.953195095062256
Besançon Viotte,47.247019,6.022003
Biarritz,43.459397,-1.545915
Biganos Facture,44.637384,-0.96621
Bordeaux Saint-Jean,44.825873,-0.556697
Boulogne-sur-Mer,50.7157,1.60964
Bourg-Saint-Maurice,45.619036,6.771273
Bourg-en-Bresse,46.200351,5.215063
Brest,48.38811,-4.478903
Béthune,50.52144,2.64055
Béziers,43.33633,3.218873
Calais,50.953481,1.850819
Calais - Fréthun,50.901221,1.810891
Cannes,43.553839,7.019682
Carcassonne,43.218029,2.351824
Chalon-sur-Saône,46.781612,4.843454
Chambéry - Challes-les-Eaux,45.571302,5.919547
Champagne-Ardenne TGV,49.214806,3.994632
Charleville-Mézières,49.767915,4.724952
Châlons-en-Champagne,48.955252,4.348656
Châtellerault,46.818594,0.549279
Cluses,46.061447,6.582663
Colmar,48.073201,7.346967
Croix - Wasquehal,50.6785574,3.1380315
Dax,43.720472,-1.050301
Dijon,47.32337,5.027208
Dol-de-Bretagne,48.54425,-1.750536
Dole,47.096084,5.488105
Douai,50.371677,3.089986
Dunkerque,51.03047,2.368961
Forbach,49.1892278,6.9013184
Frasne,46.857596,6.157767
Futuroscope,46.669918,0.377209
Grenoble,45.191493,5.714584
Guingamp,48.555659,-3.143343
Haute Picardie TGV,49.859182,2.8319
Hazebrouck,50.72501,2.54129
Hendaye,43.353132,-1.781724
Hyères,43.108867,6.124223
La Baule-Escoublac,47.28869,-2.389102
La Roche-sur-Yon,46.67212,-1.435621
La Rochelle,46.15269,-1.145305
La Teste-de-Buch,44.636924,-1.14295
Lamballe,48.46606,-2.511546
Landerneau,48.453572,-4.256528
Landry,45.5741713,6.7338182
Lannion,48.727638,-3.460353
Laval,48.076206,-0.760907
Le Creusot - Montceau-les-Mines - Montchanin TGV,46.765343,4.499513
Le Croisic,47.289836,-2.507442
Le Havre,49.492996,0.125677
Le Mans,47.995689,0.192578
Le Pouliguen,47.2825404,-2.4331446
Lens,50.426818,2.828254
Les Arcs - Draguignan,43.455524,6.482498
Les Sables-d'Olonne,46.499917,-1.78105
Libourne,44.915888,-0.236344
Lille Europe,50.639224,3.075796
Lille Flandres,50.636577,3.06987
Lorient Bretagne Sud,47.755597,-3.366221
Lorraine TGV,48.947773,6.169838
Lourdes,43.10037,-0.042174
Lunéville,48.588233,6.49727
Lyon Part Dieu,45.760559,4.859355
Lyon Perrache,45.748476,4.825733
Lyon Saint-Exupéry TGV,45.721109,5.074969
Mantes-la-Jolie,48.98984,1.70337
Marne-la-Vallée Chessy,48.869856,2.78272
Marseille Saint-Charles,43.302666,5.380407
Massy - Palaiseau,48.7264211,2.2575281
Massy TGV,48.725758,2.261254
Metz,49.109545,6.176593
Meuse TGV,48.978549,5.270954
Miramas,43.580704,5.000264
Modane,45.193365,6.658161
Montauban Ville Bourbon,44.014387,1.341496
Montbard,47.618747,4.33616
Montpellier Saint-Roch,43.604738,3.880674
Montpellier Sud de France,43.594787,3.924623
Montélimar,44.559079,4.744792
Morlaix,48.57797,-3.832514
Mouchard,46.976911,5.799644
Moûtiers - Salins - Brides-les-Bains,45.486344,6.531425
Mulhouse,47.742224,7.342396
Mâcon,46.302572,4.824887
Mâcon Loché TGV,46.282884,4.778876
Nancy,48.689861,6.174583
Nantes,47.216148,-1.542356
Narbonne,43.190387,3.00591
Nice,43.704556,7.261904
Niort,46.319491,-0.454639
Nurieux-Volognat,46.1842195,5.5327486
Nîmes,43.832291,4.365845
Nîmes Pont du Gard,43.81681,4.50768
Orange,44.137304,4.819594
Orthez,43.484242,-0.76776
Paris Est,48.876742,2.358424
Paris Gare de Lyon Hall 1 & 2,48.844888,2.37352
Paris Montparnasse Hall 1 & 2,48.841172,2.320514
Pau,43.291762,-0.369626
Perpignan,42.696292,2.879779
Plouaret Trégor,48.6062816,-3.4668231
Poitiers,46.582275,0.333241
Pornichet,47.2705354,-2.3445765
Quimper,47.994455,-4.092103
Quimperlé,47.869375,-3.552693
Rang-du-Fliers - Verton - Berck,50.41579,1.64805
Redon,47.652004,-2.08777
Reims,49.258978,4.024435
Remiremont,48.016363,6.598855
